rule_id,问题分类,问题子类或关键词,场景描述,触发条件,是否扣分,扣分分值,条款编号,条款标题,条款关键片段,条款解释,共识来源,示例问法,状态,备注
R-0023,储存与离地问题,冷冻冷藏设备运转维护正常|温度符合标准|冷冻冷藏温度不符合标准,冷冻冷藏温度不符合标准,冷藏设备温度超过8℃及 以上， 冷冻设备温度超过-13℃及以上,是,3,F5.2,冷冻冷藏设备运转维护正常、温度符合标准,冷冻冷藏温度不符合标准,冷藏设备温度超过8℃及 以上， 冷冻设备温度超过-13℃及以上,,冷冻冷藏温度不符合标准,启用,自动从稽核表抽取
R-0024,物料效期问题,净水器设备运转维护正常|净水器维养时间贴缺失|过期及篡改,净水器维养时间贴缺失、过期及篡改,包含但不限于粗滤、精滤、超滤、pcb、ro膜,是,3,F5.3,净水器设备运转维护正常,净水器维养时间贴缺失、过期及篡改,包含但不限于粗滤、精滤、超滤、pcb、ro膜,,净水器维养时间贴缺失、过期及篡改,启用,自动从稽核表抽取
R-0025,其他特殊判定,果糖机计量正确|果糖机未按要求进行校准,果糖机未按要求进行校准,果糖机未按要求进行校准,是,3,F5.4,果糖机计量正确,果糖机未按要求进行校准,果糖机计量正确,,果糖机未按要求进行校准,启用,自动从稽核表抽取
R-0026,其他特殊判定,电子秤未按要求进行校准,电子秤未按要求进行校准,电子秤未按要求进行校准,是,1,F5.5,电子秤（含精准秤）计量正确,电子秤未按要求进行校准,电子秤（含精准秤）计量正确,,电子秤未按要求进行校准,启用,自动从稽核表抽取
R-0027,其他特殊判定,设备不齐全或不能正常运转,设备不齐全或不能正常运转,未按照公司要求按照并使用电视、摄像头等设备,是,5,F5.6,经营使用的所有设备齐全且运转正常,设备不齐全或不能正常运转,未按照公司要求按照并使用电视、摄像头等设备,,设备不齐全或不能正常运转,启用,自动从稽核表抽取
R-0028,储存与离地问题,化学品未放置在化学品专区,化学品未放置在化学品专区,化学品（清洁剂/消毒剂等）出现在操作或原物料储存区域,是,1,F6.1,化学用品/食品添加剂按照公司及法规要求正确储存和使用,化学品未放置在化学品专区,化学品（清洁剂/消毒剂等）出现在操作或原物料储存区域,,化学品未放置在化学品专区,启用,自动从稽核表抽取
R-0029,设备器具清洁/霉变/积垢,门店陈列物料正常运行|维护良好|陈列品非最新版式|上限为10分,陈列品非最新版式，清洁或维护不良（陈列按对象叠加，上限为10分）,陈列物料画面破损掉漆现象,是,1,B1.1,门店陈列物料正常运行，维护良好,陈列品非最新版式，清洁或维护不良（陈列按对象叠加，上限为10分）,陈列物料画面破损掉漆现象,,陈列品非最新版式，清洁或维护不良（陈列按对象叠加，上限为10分）,启用,自动从稽核表抽取
R-0030,其他特殊判定,门店洗手间维护良好|洗手间门未关闭,洗手间门未关闭,洗手间门未关闭,是,1,B1.2,门店洗手间维护良好,洗手间门未关闭,门店洗手间维护良好,,洗手间门未关闭,启用,自动从稽核表抽取
R-0031,其他特殊判定,影响顾客用餐体验的行为|故意不售卖产品|售卖菜单上没有的产品,故意不售卖产品,菜单（含堂食、外卖与小程序）的产品不售卖给顾客,是,3,B2.1,影响顾客用餐体验的行为,故意不售卖产品,菜单（含堂食、外卖与小程序）的产品不售卖给顾客,,故意不售卖产品,启用,自动从稽核表抽取
R-0032,证照/记录/人员规范,点单未招呼|点单未推新,点单未招呼,堂食时，员工是否在每4位顾客中至少有向2位以上顾客推荐新品或主推品？,是,3,B2.2,按照总部的点单流程进行操作,点单未招呼,堂食时，员工是否在每4位顾客中至少有向2位以上顾客推荐新品或主推品？,,点单未招呼,启用,自动从稽核表抽取
R-0033,储存与离地问题,出杯未正确提供相关配件,出杯未正确提供相关配件,打包时，未在打包袋口贴上外卖封签（浙江、安徽等当地法规有要求的地区）,是,3,B2.3,按照总部的出杯流程进行操作,出杯未正确提供相关配件,打包时，未在打包袋口贴上外卖封签（浙江、安徽等当地法规有要求的地区）,,出杯未正确提供相关配件,启用,自动从稽核表抽取
R-0034,其他特殊判定,鲜果操作全流程符合标准,鲜果未按照研发要求进行操作,包括但不限于重要步骤错误或缺失、标准设备/器具使用错误、数据错误,是,5,B3.1,鲜果操作全流程符合标准,鲜果未按照研发要求进行操作,包括但不限于重要步骤错误或缺失、标准设备/器具使用错误、数据错误,,鲜果未按照研发要求进行操作,启用,自动从稽核表抽取
R-0035,其他特殊判定,半成品操作全流程符合标准,半成品未按照研发要求进行操作,包括但不限于重要步骤错误或缺失、标准设备/器具使用错误、数据错误,是,5,B3.2,半成品操作全流程符合标准,半成品未按照研发要求进行操作,包括但不限于重要步骤错误或缺失、标准设备/器具使用错误、数据错误,,半成品未按照研发要求进行操作,启用,自动从稽核表抽取
R-0036,其他特殊判定,调饮操作全流程符合标准,调饮未按照研发要求进行操作,包括但不限于重要步骤错误或缺失、标准设备/器具使用错误、数据错误,是,5,B3.3,调饮操作全流程符合标准,调饮未按照研发要求进行操作,包括但不限于重要步骤错误或缺失、标准设备/器具使用错误、数据错误,,调饮未按照研发要求进行操作,启用,自动从稽核表抽取
R-0037,证照/记录/人员规范,员工仪容仪表不符合要求|员工行为规范不符合要求,员工仪容仪表不符合要求,未穿戴标准全套制服,是,3,K1.1,员工遵守在店着装及行为要求,员工仪容仪表不符合要求,未穿戴标准全套制服,,员工仪容仪表不符合要求,启用,自动从稽核表抽取
R-0038,其他特殊判定,招牌灯|电视机|门头灯未按管理要求开启|电视机未正常运作,门头灯未按管理要求开启,街边店：16：00-打烊开启门头招牌灯 商超店：营业时间开启门头招牌灯,是,1,k2.1,招牌灯、电视机、音响及宣传物料正常运行且维护良好,门头灯未按管理要求开启,街边店：16：00-打烊开启门头招牌灯 商超店：营业时间开启门头招牌灯,,门头灯未按管理要求开启,启用,自动从稽核表抽取
R-0039,设备器具清洁/霉变/积垢,顾客可视区域清洁维护良好|顾客可视区域有脏污|垃圾等|积尘|污渍|破损或昆虫及尸体,顾客可视区域有脏污、垃圾等,顾客离开桌椅未清理或有3杯及以上饮品未清理,是,1,K2.2,顾客可视区域清洁维护良好,顾客可视区域有脏污、垃圾等,顾客离开桌椅未清理或有3杯及以上饮品未清理,,顾客可视区域有脏污、垃圾等,启用,自动从稽核表抽取
R-0040,其他特殊判定,奶箱温度符合要求|咖啡奶箱温度符合要求,咖啡奶箱温度符合要求,奶箱温度超过7℃及 以上,是,3,KF1.1,奶箱温度符合要求,咖啡奶箱温度符合要求,奶箱温度超过7℃及 以上,,咖啡奶箱温度符合要求,启用,自动从稽核表抽取
R-0041,其他特殊判定,咖啡机计量正确,咖啡机萃取时间及克重符合标准,咖啡机萃取时间及克重不符合标准且没有报修,是,3,KF1.2,咖啡机计量正确,咖啡机萃取时间及克重符合标准,咖啡机萃取时间及克重不符合标准且没有报修,,咖啡机萃取时间及克重符合标准,启用,自动从稽核表抽取
R-0042,其他特殊判定,咖啡出杯流程进行操作,出杯未正确提供相关配件（咖啡）,咖啡未使用460新杯子制作,是,3,KF1.3,咖啡出杯流程进行操作,出杯未正确提供相关配件（咖啡）,咖啡未使用460新杯子制作,,出杯未正确提供相关配件（咖啡）,启用,自动从稽核表抽取
R-0043,其他特殊判定,咖啡操作全流程符合标准,咖啡饮品未按照研发要求进行操作,包括但不限于重要步骤错误或缺失、标准设备/器具使用错误、数据错误,是,5,KF1.4,咖啡操作全流程符合标准,咖啡饮品未按照研发要求进行操作,包括但不限于重要步骤错误或缺失、标准设备/器具使用错误、数据错误,,咖啡饮品未按照研发要求进行操作,启用,自动从稽核表抽取
R-0044,其他特殊判定,调饮操作全流程符合标准|调饮按照研发要求进行操作,调饮按照研发要求进行操作,调饮按照研发要求进行操作,是,3,E1.1,调饮操作全流程符合标准,调饮按照研发要求进行操作,调饮操作全流程符合标准,,调饮按照研发要求进行操作,启用,自动从稽核表抽取
R-0045,证照/记录/人员规范,食安知识提升项|员工食安知识合格,员工食安知识合格,门店员工能正确回答出学习地图内的考题且完成每月的焦点任务,是,1,E1.2,食安知识提升项,员工食安知识合格,门店员工能正确回答出学习地图内的考题且完成每月的焦点任务,,员工食安知识合格,启用,自动从稽核表抽取
R-0046,其他特殊判定,门店原材料新鲜,门店使用的咖啡豆在一个月内,门店咖啡豆均未没有超过30天,是,1,E1.3,门店原材料新鲜,门店使用的咖啡豆在一个月内,门店咖啡豆均未没有超过30天,,门店使用的咖啡豆在一个月内,启用,自动从稽核表抽取
R-0047,储存与离地问题,储存中鲜果在最佳效期内,储存中的鲜果在标准环境中且在效期内,储存中的鲜果在标准环境中且在效期内,是,1,E1.4,储存中鲜果在最佳效期内,储存中的鲜果在标准环境中且在效期内,储存中鲜果在最佳效期内,,储存中的鲜果在标准环境中且在效期内,启用,自动从稽核表抽取
R-0134,虫害与消杀问题,灭蝇灯|灭蝇纸|未配灭蝇纸|灭蝇纸缺失|灭蝇纸过期|灭蝇灯灯管损坏|灭蝇灯无纸,客区/操作区灭蝇灯内未配灭蝇纸、灭蝇纸过效期未更换、灭蝇灯灯管损坏不亮等消杀设备配件维护不到位的情形。,现场发现灭蝇灯未配灭蝇纸、或灭蝇纸已过效期、或灭蝇灯灯管损坏；且无7天内打卡记录、不在月度维保期内。,是,1,55,灭蝇灯与消杀设备配件维护共识,灭蝇灯属于消杀设备；灭蝇纸、灯管为必备消耗品/配件，缺失或失效按设备维护不良扣1分，不计入设施/设备清洁（R-0015）。,灭蝇灯属于消杀设备，灭蝇纸为必备消耗品。客区/操作区灭蝇灯未配灭蝇纸、灭蝇纸过期、灯管损坏均按设备维护不良扣1分；若有7天内打卡或在月度维保期内可不扣分。本条不属于设施/设备清洁，请勿匹配 R-0015。,CS-0218,客区灭蝇灯内没有灭蝇纸要不要扣分？,启用,补入以修复 RV-20260422020006-519 类灭蝇灯无纸问题被误判到 R-0015 的情况
